1.07	-0.13	0.34	0.38	0.72	0.30	-28.54	29.24	-39.25
1.05	-0.10	0.26	0.29	0.68	0.28	-6.51	13.86	-40.83
1.06	-0.09	0.20	0.28	0.70	0.28	8.99	1.04	-49.87
1.02	-0.05	0.11	0.28	0.68	0.16	24.78	-22.83	-40.77
0.95	0.02	0.06	0.35	0.63	0.16	29.50	-50.84	-36.64
0.94	0.08	0.01	0.32	0.69	0.20	59.56	-73.66	-40.51
1.00	0.19	-0.01	0.30	0.74	0.26	86.00	-73.84	-38.11
1.07	0.30	0.13	0.33	0.73	0.14	99.54	-61.19	-44.75
1.27	0.31	0.50	0.35	0.71	0.16	71.11	-39.77	-25.79
1.49	0.32	0.72	0.30	0.70	0.22	-9.92	-34.61	13.61
1.41	0.33	0.64	0.30	0.66	0.16	-60.85	-34.37	41.04
1.18	0.26	0.49	0.27	0.63	0.04	-64.07	-27.81	35.03
1.11	0.22	0.50	0.24	0.65	0.12	-28.98	-32.99	31.33
1.06	0.22	0.61	0.27	0.77	0.14	9.34	-45.71	34.17
1.06	0.27	0.66	0.32	0.71	0.27	9.35	-62.68	51.42
1.20	0.28	0.74	0.37	0.81	0.27	-23.93	-84.49	61.19
1.36	0.17	0.86	0.34	0.74	0.28	-54.24	-104.88	78.66
1.35	0.17	0.91	0.38	0.63	0.26	-81.05	-125.88	99.24
1.38	0.03	0.93	0.35	0.74	0.28	-94.80	-145.00	100.56
1.47	0.02	0.89	0.48	0.73	0.23	-87.68	-161.21	101.40
1.46	-0.04	0.82	0.45	0.60	0.25	-64.10	-170.12	94.21
1.45	0.02	0.75	0.51	0.64	0.20	-30.04	-150.10	64.56
1.47	0.09	0.66	0.27	0.66	0.27	21.60	-106.30	37.03
1.51	0.14	0.57	0.34	0.63	0.22	31.30	-58.40	19.62
1.39	0.20	0.43	0.36	0.63	0.36	37.24	-3.69	-5.63
1.34	0.24	0.36	0.36	0.66	0.31	42.69	46.75	-15.99
1.31	0.32	0.22	0.39	0.71	0.27	-8.88	69.06	-2.11
1.26	0.34	-0.09	0.37	0.75	0.28	-40.12	91.09	14.05
1.27	0.34	-0.34	0.43	0.74	0.32	-73.44	93.77	34.00
1.17	0.25	-0.33	0.34	0.69	0.22	-64.65	87.06	26.93
1.01	0.24	-0.25	0.38	0.70	0.27	39.21	88.72	-19.19
1.00	0.20	-0.14	0.37	0.77	0.27	118.46	97.96	-53.67
1.26	0.20	0.50	0.33	0.78	0.17	-36.35	1.74	10.83
1.29	0.21	0.57	0.27	1.40	1.61	-63.68	-0.75	23.33
1.16	0.18	0.60	0.29	1.28	1.62	-79.42	-1.82	20.51
1.07	0.14	0.56	0.41	1.45	1.61	-53.41	-11.19	12.12
1.00	0.13	0.60	0.53	1.52	1.66	-2.90	-23.42	7.64
0.97	0.16	0.64	0.48	1.59	1.52	21.43	-37.38	12.25
1.00	0.19	0.65	0.26	1.81	1.35	29.43	-60.49	31.03
1.11	0.19	0.60	0.12	2.00	1.00	36.43	-72.27	34.40
1.15	0.18	0.63	-0.05	2.00	0.52	44.34	-76.59	37.50
1.15	0.22	0.68	-0.46	2.00	0.05	46.91	-86.73	41.42
1.20	0.22	0.77	-0.61	2.00	-0.15	17.29	-99.18	49.57
1.26	0.17	0.81	-0.64	2.00	-0.08	-22.26	-117.12	62.67
1.26	0.14	0.79	-0.04	1.92	0.15	-46.93	-129.69	67.83
1.26	0.14	0.72	0.41	1.85	0.41	-39.55	-127.70	55.89
1.28	0.19	0.61	0.26	1.81	0.49	-6.61	-107.62	32.45
1.38	0.16	0.50	-0.03	1.78	0.53	29.78	-75.14	8.73
1.38	0.27	0.41	-0.02	1.84	0.40	59.62	-37.86	-12.67
1.36	0.25	0.42	-0.03	1.79	0.30	58.76	-11.12	-23.64
1.35	0.26	0.48	0.02	1.65	0.20	50.91	7.51	-20.00
1.32	0.29	0.53	0.11	1.63	0.29	36.71	30.56	-29.24
1.31	0.26	0.57	0.20	1.71	0.34	40.69	55.37	-28.62
1.32	0.29	0.39	0.49	1.67	0.12	43.47	65.32	-24.61
1.24	0.33	0.07	0.46	1.86	-0.12	32.02	74.91	-27.14
