0.45	-1.02	-0.19	0.42	0.91	0.21	139.44	36.12	-93.22
0.45	-1.02	-0.16	0.19	0.88	0.22	128.85	51.48	-98.70
0.43	-0.98	-0.16	0.07	0.87	0.25	108.87	71.22	-102.73
0.42	-0.95	-0.16	-0.03	0.85	0.37	92.39	93.98	-105.04
0.41	-0.93	-0.18	-0.06	0.83	0.43	83.82	119.18	-107.28
0.42	-0.94	-0.18	-0.11	0.69	0.57	77.39	142.07	-110.12
0.41	-0.96	-0.16	-0.14	0.50	0.77	61.78	159.19	-104.72
0.37	-0.98	-0.15	-0.19	0.41	0.87	21.77	172.59	-81.54
0.34	-1.00	-0.14	-0.30	0.20	0.98	-41.02	178.29	-39.41
0.29	-1.05	-0.11	-0.30	-0.06	1.20	-96.95	185.99	15.65
0.28	-1.09	-0.10	-0.22	-0.17	1.19	-121.86	187.18	73.86
0.30	-1.09	-0.09	0.22	-0.36	1.53	-103.60	172.34	132.94
0.36	-1.07	-0.10	0.60	-0.44	1.92	-79.41	140.09	177.80
0.44	-1.02	-0.11	0.75	-0.46	1.97	-76.42	94.67	215.26
0.44	-1.00	-0.11	1.13	-0.44	1.80	-76.79	44.14	250.00
0.44	-0.95	-0.12	1.57	-0.32	1.48	-57.84	-1.21	250.00
0.43	-0.94	-0.13	1.69	-0.24	1.36	-14.92	-30.98	250.00
0.39	-0.95	-0.15	1.86	-0.07	0.99	35.93	-48.41	250.00
0.38	-0.95	-0.16	1.93	0.02	0.65	80.16	-63.07	250.00
0.36	-0.94	-0.16	1.87	0.07	0.49	92.18	-84.57	250.00
0.37	-0.92	-0.16	1.76	0.17	0.24	74.98	-109.06	247.97
0.38	-0.91	-0.16	1.70	0.28	0.03	43.18	-131.72	237.01
0.36	-0.90	-0.18	1.64	0.38	-0.19	12.74	-148.96	215.58
0.32	-0.93	-0.21	1.56	0.48	-0.32	-2.16	-156.79	182.38
0.27	-0.97	-0.22	1.56	0.58	-0.45	1.29	-159.41	140.67
0.25	-1.03	-0.25	1.56	0.74	-0.54	26.81	-155.99	99.68
0.22	-1.03	-0.24	1.47	0.89	-0.62	78.81	-149.09	57.05
0.20	-0.93	-0.21	1.09	1.01	-0.61	126.95	-130.88	20.13
0.25	-0.89	-0.21	0.84	1.01	-0.58	154.86	-111.94	-20.26
0.33	-0.86	-0.22	0.65	1.05	-0.55	172.72	-86.95	-50.00
0.24	-0.83	-0.26	0.31	1.15	-0.47	164.48	-50.81	-74.71
