0.14	-0.94	-0.00	0.61	0.18	-0.50	87.91	4.30	-114.37
0.16	-0.92	-0.01	0.57	0.10	-0.49	124.26	5.19	-157.01
0.13	-0.90	0.02	0.46	0.00	-0.47	154.12	5.01	-198.90
0.12	-0.94	0.03	0.28	-0.11	-0.52	164.23	3.92	-244.01
0.13	-0.97	0.01	0.22	-0.18	-0.52	160.75	3.62	-250.00
0.12	-0.97	-0.05	0.12	-0.29	-0.46	163.32	-1.92	-250.00
0.15	-0.96	-0.05	0.09	-0.36	-0.40	195.96	-10.64	-250.00
0.22	-0.97	-0.02	-0.18	-0.41	-0.14	212.33	-28.39	-250.00
0.27	-1.01	0.00	-1.23	-0.28	0.71	169.00	-42.15	-250.00
0.33	-1.05	-0.01	-1.89	-0.12	0.98	33.74	-7.06	-250.00
0.45	-1.11	-0.01	-2.00	-0.00	0.85	-57.31	54.54	-250.00
0.52	-1.13	-0.02	-2.00	-0.02	1.41	49.42	92.84	-223.80
0.45	-1.22	-0.17	-2.00	0.07	1.78	250.00	47.62	-158.14
0.31	-1.37	0.02	-2.00	0.26	1.73	250.00	28.46	-82.92
0.27	-1.29	0.02	-2.00	0.73	1.40	122.88	43.97	-1.79
0.36	-1.05	0.08	-2.00	0.85	1.33	-33.69	62.08	62.60
0.34	-1.07	0.09	-2.00	0.95	1.20	-76.75	52.38	90.92
0.18	-1.06	0.12	-1.68	0.93	1.08	-31.27	27.71	92.45
0.07	-1.00	0.04	-1.24	0.82	0.84	9.52	11.06	86.40
0.04	-1.00	0.00	-1.07	0.62	0.73	18.09	11.56	94.47
0.07	-1.03	-0.05	-1.03	0.52	0.70	10.88	11.75	105.17
0.14	-1.07	-0.03	-1.00	0.41	0.58	-10.85	9.96	103.18
0.33	-1.15	0.01	-0.96	0.27	0.44	-31.82	2.03	94.95
0.53	-1.13	0.02	-0.95	0.22	0.38	-59.71	-6.76	89.03
0.59	-1.09	0.03	-0.94	0.11	0.32	-90.49	-13.60	87.77
0.54	-1.02	0.06	-0.82	0.07	0.31	-110.06	-19.24	88.48
0.47	-0.99	0.05	-0.75	0.07	0.33	-107.61	-24.53	93.73
0.32	-0.93	0.02	-0.68	0.07	0.34	-89.10	-26.86	96.60
0.28	-0.91	0.04	-0.64	0.07	0.34	-63.97	-28.67	96.83
0.29	-0.89	0.02	-0.68	0.05	0.30	-50.71	-29.34	95.80
0.30	-0.88	0.03	-0.76	0.01	0.25	-56.65	-30.30	93.68
0.30	-0.88	0.03	-0.78	0.00	0.24	-81.27	-33.09	88.11
0.38	-0.94	0.05	-0.74	-0.02	0.18	-114.50	-41.09	78.75
0.37	-0.96	0.05	-0.61	0.00	0.11	-138.05	-51.62	65.39
0.38	-0.98	0.02	-0.52	0.00	0.07	-134.27	-60.96	46.67
0.43	-1.01	0.04	-0.35	0.03	-0.04	-109.38	-68.23	22.29
0.45	-1.03	0.07	-0.26	0.04	-0.11	-70.84	-75.30	-5.28
0.52	-1.08	0.13	-0.26	0.04	-0.12	-36.11	-83.67	-31.58
0.54	-1.11	0.16	-0.36	0.04	-0.13	-14.16	-92.71	-56.35
0.65	-1.17	0.16	-0.41	0.04	-0.15	-4.92	-102.99	-80.21
0.75	-1.24	0.11	-0.49	0.06	-0.25	-5.10	-113.24	-104.18
0.77	-1.25	0.10	-0.54	0.11	-0.33	-8.57	-127.82	-132.91
0.84	-1.24	0.10	-0.57	0.13	-0.35	-4.93	-144.17	-162.06
0.89	-1.24	0.09	-0.58	0.13	-0.36	12.19	-158.49	-189.29
1.01	-1.23	0.07	-0.61	0.18	-0.36	35.75	-166.20	-211.23
1.26	-1.19	0.00	-0.65	0.21	-0.32	69.11	-173.11	-227.32
1.36	-1.16	-0.08	-0.69	0.23	-0.31	103.65	-181.86	-234.92
1.54	-1.08	-0.32	-1.11	0.14	-0.39	110.40	-184.02	-233.75
1.53	-1.03	-0.45	-1.47	0.12	-0.32	71.92	-176.80	-220.61
1.54	-0.88	-0.73	-1.81	0.29	-0.02	10.71	-169.59	-198.23
1.48	-0.70	-0.90	-1.80	0.39	0.07	-24.09	-157.20	-181.77
1.42	-0.60	-0.97	-1.61	0.47	0.11	4.08	-139.60	-171.63
1.30	-0.50	-1.15	-1.33	0.38	0.24	115.63	-131.78	-147.97
1.33	-0.47	-1.21	-1.35	0.28	0.25	226.14	-127.21	-110.16
1.28	-0.49	-1.23	-1.60	0.14	0.31	250.00	-120.00	-66.82
1.03	-0.50	-1.16	-1.82	0.16	0.31	247.48	-116.30	-31.09
0.95	-0.48	-1.18	-1.93	0.17	0.23	164.01	-107.25	-13.18
0.90	-0.44	-1.04	-1.79	0.17	0.13	84.60	-104.13	-11.21
0.82	-0.42	-0.92	-1.66	0.16	0.14	48.79	-98.80	-10.22
0.95	-0.36	-0.75	-1.29	0.11	0.24	73.79	-93.48	-4.81
1.02	-0.29	-0.71	-1.15	0.19	0.95	176.84	-139.99	45.85
0.95	-0.16	-0.81	-1.74	-0.03	0.75	61.10	-118.94	107.00
0.96	-0.01	-0.82	-1.39	0.20	0.75	54.87	-130.25	92.40
1.05	0.05	-0.72	-1.17	0.09	0.16	44.40	-122.30	80.80
1.20	0.20	-0.47	-1.13	-0.02	0.01	20.73	-105.62	76.85
1.22	0.30	-0.34	-1.06	-0.17	-0.17	-0.57	-94.04	68.38
1.17	0.39	-0.26	-1.09	-0.29	-0.19	-24.92	-88.36	55.66
1.13	0.36	-0.26	-1.07	-0.30	-0.13	-36.55	-85.30	48.95
1.07	0.36	-0.26	-0.96	-0.29	0.07	-35.42	-88.35	47.62
0.92	0.36	-0.18	-0.87	-0.27	0.14	-16.75	-96.89	50.42
0.83	0.37	-0.12	-0.71	-0.17	0.17	19.96	-109.85	53.47
0.67	0.40	0.06	-0.68	-0.05	0.14	63.28	-116.51	53.60
0.66	0.38	0.08	-0.76	0.00	0.09	91.79	-114.95	52.00
0.53	0.33	0.10	-0.91	0.09	0.01	110.89	-106.89	47.84
0.13	0.30	0.00	-1.11	0.15	-0.09	111.18	-90.75	42.53
-0.04	0.36	-0.06	-1.22	0.16	-0.14	88.28	-75.17	38.91
-0.17	0.38	-0.01	-1.37	0.18	-0.22	50.34	-58.11	35.70
-0.10	0.36	-0.00	-1.34	0.17	-0.19	11.34	-41.96	34.07
-0.10	0.32	-0.03	-1.28	0.16	-0.14	-19.23	-27.67	34.04
-0.16	0.24	-0.08	-1.13	0.16	0.00	-36.71	-17.61	32.65
-0.22	0.20	-0.11	-1.06	0.16	0.05	-39.46	-10.96	29.88
-0.37	0.16	-0.19	-0.94	0.13	0.08	-34.95	-6.07	27.34
-0.52	0.12	-0.24	-0.87	0.08	0.10	-26.40	-4.75	26.49
-0.77	-0.00	-0.32	-0.87	0.06	0.10	-21.26	-4.70	25.02
-0.89	-0.19	-0.38	-0.87	0.01	0.08	-17.62	-4.97	22.78
-0.84	-0.28	-0.36	-0.86	-0.00	0.06	-11.70	-5.17	19.70
-0.52	-0.44	-0.32	-0.86	-0.02	0.05	-5.90	-4.49	17.39
-0.45	-0.47	-0.39	-0.92	-0.04	0.08	-2.05	-1.46	15.97
-0.47	-0.53	-0.48	-1.00	-0.06	0.11	-3.04	2.16	16.37
-0.40	-0.63	-0.42	-1.02	-0.07	0.13	-6.69	3.28	17.62
-0.30	-0.70	-0.33	-1.03	-0.06	0.16	-13.02	3.78	18.13
0.16	-0.83	-0.13	-1.02	-0.06	0.18	-20.49	5.11	18.07
0.54	-0.85	-0.02	-0.96	-0.05	0.18	-25.33	6.81	16.40
1.22	-0.80	0.38	-0.90	-0.07	0.12	-25.40	9.41	13.28
1.94	-0.85	0.89	-0.88	-0.09	0.13	-21.91	8.53	10.20
2.00	-0.95	1.00	-0.91	-0.09	0.25	-21.93	6.04	9.05
2.00	-1.23	1.06	-0.97	-0.06	0.39	-26.34	6.40	11.87
2.00	-1.28	0.94	-1.00	-0.07	0.44	-40.08	7.18	17.09
2.00	-0.74	0.54	-1.01	-0.11	0.45	-52.56	1.31	17.07
2.00	-0.11	0.25	-0.93	-0.14	0.41	-33.39	-12.70	9.25
2.00	0.14	0.27	-0.84	-0.16	0.27	12.90	-27.89	-3.02
2.00	0.44	0.18	-0.93	-0.17	0.10	61.96	-33.52	-9.99
2.00	0.39	0.10	-1.07	-0.16	0.02	89.85	-25.25	-8.73
2.00	0.27	-0.07	-1.41	-0.16	-0.13	77.59	-6.31	-3.59
2.00	0.26	-0.16	-1.52	-0.09	-0.10	41.31	13.94	-1.27
2.00	0.22	-0.17	-1.50	-0.03	-0.07	-11.36	31.07	-3.11
1.73	0.14	-0.13	-1.26	0.04	0.07	-55.34	42.73	-7.09
