-0.38	-0.40	1.63	0.91	0.66	1.42	-43.51	109.62	60.11
-0.38	-0.44	1.61	1.15	0.81	1.34	-58.63	64.92	71.23
-0.38	-0.39	1.51	1.33	0.89	1.30	-58.67	19.08	80.74
-0.39	-0.35	1.45	1.38	0.88	1.31	-48.48	-22.58	86.42
-0.39	-0.27	1.41	1.29	0.74	1.34	-30.95	-59.42	88.73
-0.35	-0.22	1.38	1.10	0.57	1.38	-6.65	-87.84	91.99
-0.34	-0.19	1.37	0.99	0.50	1.41	14.99	-109.34	98.82
-0.33	-0.12	1.30	0.77	0.38	1.48	27.98	-128.44	111.92
-0.34	-0.08	1.25	0.52	0.28	1.55	22.36	-150.79	125.06
-0.32	-0.01	1.16	0.38	0.25	1.56	-1.91	-175.65	138.18
-0.29	0.01	1.07	0.10	0.20	1.53	-22.64	-195.93	155.62
-0.27	0.01	1.02	-0.04	0.27	1.41	-42.84	-215.94	174.06
-0.23	0.03	0.94	-0.20	0.16	1.29	-60.06	-231.65	189.93
-0.20	0.06	0.79	-0.27	0.17	1.19	-57.73	-231.95	194.64
-0.18	0.07	0.72	-0.24	0.15	1.18	-47.92	-228.37	196.06
-0.15	0.09	0.59	-0.14	0.05	1.15	-34.09	-221.63	198.28
-0.14	0.10	0.54	-0.13	0.05	0.98	-9.61	-209.03	194.96
-0.10	0.13	0.47	-0.15	0.04	0.86	21.75	-186.15	188.78
-0.07	0.18	0.40	-0.15	0.07	0.64	47.68	-151.25	180.53
-0.06	0.20	0.38	-0.11	0.09	0.46	73.48	-112.89	171.46
-0.01	0.23	0.38	-0.13	0.07	0.41	85.44	-71.78	160.88
0.04	0.26	0.37	-0.08	0.07	0.32	81.13	-36.22	149.25
0.10	0.32	0.30	0.03	0.05	0.26	85.09	-1.90	135.48
0.15	0.40	0.25	0.04	0.05	0.19	86.08	37.50	119.71
0.18	0.48	0.22	0.20	0.02	0.17	97.57	68.75	101.01
0.23	0.54	0.26	0.36	0.10	0.12	114.13	103.06	73.21
0.27	0.56	0.36	0.50	0.18	0.07	107.10	130.69	43.50
0.27	0.54	0.39	0.72	0.30	-0.01	88.60	155.02	10.01
0.25	0.56	0.35	0.98	0.32	0.11	74.08	179.06	-27.28
0.29	0.57	0.34	1.24	0.23	0.29	71.81	191.87	-55.76
0.38	0.55	0.45	1.32	0.22	0.26	71.31	198.15	-84.56
0.56	0.50	0.70	1.24	0.21	0.23	41.95	203.46	-118.93
0.28	0.06	1.56	0.52	0.48	1.27	-63.39	-180.00	-38.51
0.23	-0.00	1.56	0.52	0.48	1.27	-60.06	-186.43	-35.05
0.16	-0.04	1.52	0.60	0.45	1.33	-49.07	-197.53	-31.46
0.05	-0.05	1.41	0.68	0.40	1.43	-32.72	-202.66	-30.40
0.04	-0.02	1.40	0.72	0.37	1.49	-13.06	-204.17	-28.60
0.06	-0.02	1.43	0.75	0.34	1.54	8.07	-205.88	-21.09
0.09	-0.03	1.46	0.60	0.37	1.46	26.18	-201.79	-5.52
0.10	-0.04	1.41	0.49	0.39	1.39	38.56	-196.10	16.40
0.13	-0.05	1.38	0.35	0.43	1.27	41.51	-194.04	41.34
0.20	-0.12	1.31	0.27	0.47	1.22	35.13	-192.97	66.88
0.24	-0.13	1.27	0.16	0.50	1.17	29.76	-189.80	91.37
0.21	-0.11	1.17	0.10	0.48	1.15	31.71	-184.21	113.63
0.22	-0.07	1.03	0.09	0.46	1.13	39.41	-179.76	132.13
0.20	-0.05	0.98	0.12	0.41	1.04	54.34	-174.10	146.94
0.14	-0.00	0.85	0.08	0.38	0.89	68.33	-168.25	158.90
0.09	0.02	0.74	0.04	0.37	0.80	78.65	-157.24	165.76
0.09	0.05	0.70	-0.06	0.32	0.62	78.52	-149.65	172.24
0.10	0.08	0.60	-0.05	0.30	0.49	76.83	-140.44	176.68
0.09	0.11	0.56	-0.01	0.30	0.43	75.80	-129.99	178.58
0.11	0.16	0.50	0.04	0.30	0.38	76.20	-117.75	177.29
0.13	0.23	0.48	0.10	0.28	0.29	81.81	-102.62	174.65
0.18	0.29	0.43	0.11	0.27	0.25	89.02	-83.92	166.38
0.25	0.33	0.34	0.13	0.26	0.19	86.76	-64.38	156.52
