0.01	0.47	0.93	0.21	0.57	0.66	-85.55	-68.63	-34.29
0.07	0.56	1.16	0.20	0.57	0.66	-96.21	-50.61	-39.97
0.18	0.66	1.24	0.23	0.60	0.79	-105.55	-34.97	-40.37
0.05	0.56	1.49	0.31	0.58	0.88	-106.96	-26.47	-40.77
0.14	0.56	1.61	0.25	0.59	1.05	-123.14	-25.30	-32.17
0.17	0.54	1.55	0.28	0.59	1.15	-146.76	-33.36	-27.04
0.17	0.54	1.44	0.46	0.72	1.26	-122.29	-33.60	-14.34
0.18	0.40	1.31	0.28	0.86	1.22	-91.59	-26.69	-5.00
0.27	0.54	1.22	0.27	0.95	1.19	-67.34	-13.44	-0.81
0.26	0.57	1.06	0.39	1.05	1.12	-41.18	-7.86	13.11
0.05	0.61	1.07	0.56	1.04	1.10	-16.64	11.78	33.84
0.02	0.54	1.10	0.36	1.15	0.95	-15.05	32.96	55.71
-0.04	0.47	1.20	0.23	1.18	0.86	-38.25	36.71	71.71
0.04	0.42	1.18	0.13	1.05	0.68	-73.75	52.67	85.63
0.00	0.43	1.11	0.27	1.05	0.50	-103.95	48.13	104.27
-0.02	0.44	0.98	0.48	1.02	0.30	-56.51	74.30	98.41
-0.11	0.45	0.91	0.55	1.02	0.29	-0.07	92.15	77.30
-0.11	0.43	0.86	0.60	0.96	0.18	-7.19	111.22	64.62
-0.06	0.38	0.83	0.60	0.93	0.11	59.47	99.75	58.40
-0.02	0.39	0.80	0.53	0.83	0.08	67.62	143.42	31.45
0.02	0.38	0.81	0.49	0.76	0.05	56.61	116.50	23.13
0.08	0.25	0.81	0.24	0.73	0.09	26.64	130.59	-7.71
0.13	0.17	0.89	0.29	0.60	0.04	41.37	153.22	-23.54
0.14	0.11	0.90	0.25	0.55	0.07	35.16	158.99	-35.38
0.17	0.05	0.93	0.24	0.52	0.09	22.72	165.02	-54.82
0.22	-0.03	0.97	0.30	0.32	0.05	37.99	159.43	-57.08
0.21	-0.09	1.02	0.29	0.13	0.11	65.86	152.45	-56.26
0.17	-0.01	1.01	0.22	0.04	0.20	42.87	134.47	-61.61
0.13	0.08	1.05	0.26	-0.09	0.35	19.74	132.27	-75.65
0.09	0.09	1.06	0.49	-0.29	0.55	4.99	83.02	-65.28
0.22	0.21	1.17	0.74	-0.36	0.61	13.13	48.90	-51.03
0.43	0.22	1.34	0.89	-0.34	0.65	36.99	19.84	-38.84
1.09	0.65	1.04	-0.00	0.63	0.80	71.64	-29.44	78.68
1.04	0.62	0.90	0.01	0.59	0.84	61.56	-20.87	76.66
0.93	0.69	0.72	0.18	0.58	0.92	46.35	-16.81	77.49
0.98	0.69	0.57	0.26	0.57	0.95	42.60	-14.47	75.53
0.89	0.69	0.53	0.22	0.53	0.97	38.35	-19.55	72.11
0.65	0.66	0.55	0.19	0.51	0.98	37.54	-22.35	73.30
0.49	0.42	0.64	0.12	0.52	1.00	20.76	-15.65	60.72
0.39	0.50	0.65	0.07	0.54	0.99	-2.48	-32.43	63.58
0.24	0.26	0.71	0.06	0.60	0.98	-26.31	-40.63	57.10
0.11	0.27	0.72	0.09	0.62	0.93	-34.99	-33.79	51.61
0.01	0.30	0.68	0.05	0.55	0.84	-66.72	-36.15	47.30
-0.05	0.37	0.61	0.16	0.52	0.80	-94.24	-39.32	46.32
-0.01	0.44	0.50	0.26	0.60	0.78	-135.26	-32.94	39.28
-0.01	0.42	0.47	0.48	0.45	0.75	-153.52	-40.97	34.48
0.01	0.34	0.45	0.77	0.51	0.72	-127.02	-37.93	28.57
-0.00	0.30	0.47	0.80	0.54	0.66	-105.98	-30.50	23.13
0.06	0.23	0.50	0.85	0.59	0.69	-96.54	-52.48	20.75
0.19	0.22	0.56	0.73	0.58	0.70	-77.85	-49.46	7.71
0.22	0.15	0.58	0.67	0.52	0.74	-70.15	-62.09	-5.94
0.21	0.13	0.58	0.73	0.54	0.71	-62.44	-51.88	-20.69
0.13	0.07	0.63	0.78	0.50	0.72	-46.97	-25.89	-49.94
0.10	0.01	0.65	0.86	0.41	0.81	-4.33	-46.00	-52.27
0.21	0.02	0.62	0.83	0.23	0.93	24.03	-33.56	-54.86
0.25	-0.01	0.59	0.75	0.13	1.01	17.30	-40.96	-56.92
0.35	-0.06	0.59	0.81	0.14	1.07	48.46	-19.03	-44.70
0.32	-0.09	0.67	0.78	0.10	1.01	64.21	-28.78	-28.37
0.29	-0.16	0.77	0.77	0.22	0.91	62.21	-43.50	-17.31
0.20	-0.07	0.82	0.67	0.30	0.84	26.76	-76.75	-7.84
0.13	-0.02	0.84	0.50	0.36	0.77	2.85	-80.95	0.12
0.00	0.09	0.85	0.28	0.46	0.67	-15.18	-83.81	7.39
-0.12	0.20	0.83	0.18	0.50	0.65	-21.97	-77.97	16.95
-0.19	0.31	0.75	0.05	0.57	0.64	-43.35	-72.05	18.75
0.11	0.48	1.28	0.32	0.89	0.93	-28.77	2.41	11.29
0.03	0.45	1.28	0.28	0.85	0.87	-39.16	5.88	18.68
0.04	0.40	1.14	0.29	0.89	0.83	-56.89	6.07	29.42
0.01	0.36	1.09	0.31	0.97	0.78	-35.87	13.95	41.85
0.00	0.36	1.05	0.32	0.99	0.75	-16.17	40.54	40.15
0.05	0.42	1.00	0.34	1.00	0.64	-8.22	48.79	40.15
0.05	0.39	1.02	0.24	1.01	0.53	-10.19	44.88	49.64
0.04	0.38	0.96	0.25	1.00	0.47	-36.20	48.60	49.42
0.05	0.35	0.95	0.30	0.91	0.43	-49.88	59.52	48.24
0.02	0.36	0.99	0.42	0.79	0.43	-23.67	82.60	52.51
0.03	0.28	0.97	0.56	0.72	0.36	-6.73	85.89	48.01
0.05	0.23	0.92	0.55	0.68	0.24	6.04	93.08	48.07
0.05	0.21	0.90	0.55	0.66	0.18	31.02	118.88	43.36
0.06	0.19	0.88	0.50	0.61	0.13	42.24	130.84	36.12
0.08	0.18	0.90	0.49	0.59	0.08	48.32	146.66	25.71
0.11	0.16	0.94	0.39	0.52	0.07	56.77	147.69	19.46
0.18	0.10	0.99	0.45	0.47	0.07	50.83	171.49	-2.66
0.24	0.12	1.06	0.42	0.39	0.09	49.23	152.57	-15.82
0.24	0.11	1.11	0.50	0.37	0.18	58.13	154.64	-35.21
0.26	0.03	1.25	0.55	0.30	0.23	66.32	147.18	-47.07
0.26	-0.04	1.38	0.48	0.16	0.39	65.42	130.37	-52.92
0.25	-0.07	1.40	0.47	0.02	0.53	48.65	107.48	-59.11
0.15	-0.07	1.43	0.59	-0.08	0.66	45.79	87.63	-58.73
0.08	-0.08	1.53	0.64	-0.12	0.72	53.36	71.27	-51.78
0.07	-0.03	1.65	0.58	-0.20	0.79	51.97	52.06	-39.57
0.20	0.07	1.75	0.50	-0.22	0.82	47.23	29.98	-28.48
0.18	0.15	1.82	0.49	-0.21	0.79	45.59	4.12	-17.32
0.28	0.34	1.87	0.54	-0.08	0.75	53.28	-14.95	-5.65
0.41	0.43	1.85	0.51	0.05	0.72	62.75	-29.56	3.85
0.63	0.64	1.62	0.42	0.24	0.70	62.04	-35.74	17.32
0.60	0.81	1.35	0.38	0.43	0.71	48.72	-40.51	30.86
0.65	0.77	1.15	0.50	0.54	0.78	48.28	-54.72	40.92
-0.06	0.36	0.39	0.38	0.60	0.63	-47.84	-29.01	35.52
-0.06	0.36	0.39	0.55	0.67	0.66	-47.21	-28.15	32.33
-0.01	0.26	0.34	0.58	0.64	0.70	-22.14	-15.50	28.55
0.02	0.24	0.36	0.57	0.54	0.87	-10.72	-1.95	23.72
0.03	0.25	0.47	0.51	0.48	0.97	11.44	-17.65	19.57
0.09	0.19	0.56	0.41	0.42	0.92	6.27	-6.35	8.26
0.10	0.25	0.61	0.36	0.40	0.86	-12.91	-9.38	-5.60
0.04	0.26	0.57	0.66	0.34	0.85	25.67	-16.21	-22.66
0.00	0.27	0.52	0.88	0.20	0.99	77.00	-13.19	-28.85
0.03	0.24	0.52	0.77	0.11	0.99	78.37	-27.51	-24.84
0.14	0.16	0.57	0.67	0.02	0.99	42.44	-43.93	-32.04
0.09	0.08	0.69	0.74	0.00	0.97	31.62	-53.76	-32.03
0.09	0.05	0.74	0.84	-0.02	0.88	23.78	-71.40	-22.87
0.11	-0.05	0.81	0.84	0.03	0.84	15.46	-70.55	-24.44
0.16	-0.08	0.85	0.79	0.22	0.83	-4.62	-92.26	-20.89
0.17	-0.10	0.85	0.72	0.40	0.88	-27.06	-108.60	-24.35
-0.01	0.09	0.79	0.50	0.44	0.87	-49.27	-121.92	-30.24
-0.17	0.18	0.79	0.43	0.50	0.84	-63.34	-125.94	-35.32
-0.22	0.23	0.79	0.24	0.67	0.84	-64.26	-120.20	-48.58
-0.30	0.42	0.84	0.15	0.73	0.91	-61.01	-105.59	-61.08
-0.24	0.54	0.85	0.14	0.69	0.94	-49.53	-85.47	-63.50
-0.20	0.60	0.86	0.16	0.61	0.92	-27.46	-64.90	-54.48
-0.29	0.54	0.85	0.20	0.53	0.93	-12.74	-51.38	-46.49
-0.09	0.51	1.01	0.17	0.62	0.79	-14.97	-47.00	-36.89
0.02	0.48	1.12	0.11	0.70	0.69	-13.33	-36.77	-30.27
0.29	0.49	1.17	0.08	0.74	0.62	-21.37	-23.32	-24.54
0.57	0.23	1.18	0.10	0.68	0.55	-33.49	-7.57	-21.98
0.08	0.41	1.46	0.25	0.60	0.54	-35.97	-0.38	-15.56
-0.03	0.30	1.45	0.22	0.57	0.76	-84.60	-8.40	-8.56
-0.07	0.33	1.36	0.28	0.55	0.92	-115.20	-17.51	3.33
-0.08	0.19	1.17	0.33	0.60	0.97	-117.78	-34.88	13.24
0.09	0.41	0.99	0.43	0.92	1.07	-81.35	-33.54	14.04
0.07	0.34	0.86	0.23	0.80	0.46	-14.50	72.84	32.29
0.07	0.34	0.86	0.27	0.82	0.39	1.29	92.52	24.92
0.17	0.51	0.87	0.24	0.86	0.28	8.19	104.88	21.57
0.33	0.54	0.95	0.21	0.85	0.17	-2.89	124.07	5.80
0.43	0.41	1.08	0.26	0.82	0.08	-14.40	141.76	-1.66
0.41	0.33	1.15	0.31	0.74	0.06	-16.30	172.48	-13.17
0.38	0.13	1.20	0.41	0.67	0.16	-9.38	173.85	-11.34
0.25	0.01	1.17	0.54	0.52	0.27	-4.42	174.43	-5.37
0.19	-0.03	1.14	0.61	0.44	0.39	1.87	178.61	-0.92
0.06	-0.02	1.08	0.61	0.39	0.45	-4.35	169.65	-0.47
0.10	0.00	1.08	0.68	0.26	0.47	-6.02	163.78	6.49
