-0.91	0.12	1.33	0.98	1.99	0.01	-55.44	21.28	-212.95
-0.80	0.00	1.37	0.90	1.98	0.14	-87.23	19.98	-243.66
-0.60	-0.07	1.38	0.81	1.86	0.25	-115.26	12.93	-250.00
-0.68	-0.09	1.39	0.75	1.69	0.43	-124.85	15.45	-250.00
-0.85	-0.05	1.36	0.73	1.54	0.70	-106.57	20.37	-250.00
-0.70	-0.13	1.16	0.51	1.20	0.90	-72.44	29.56	-250.00
-0.68	-0.20	1.08	0.28	1.06	0.90	-64.30	35.32	-250.00
-0.66	-0.32	1.01	-0.02	0.70	0.77	-82.97	23.24	-250.00
-0.57	-0.32	1.01	-0.27	0.20	0.95	-95.60	14.44	-250.00
-0.55	-0.29	1.01	-0.45	-0.05	1.12	-112.69	-7.91	-250.00
-0.58	-0.21	1.08	-0.43	-0.15	1.22	-145.41	-40.52	-250.00
-0.66	-0.15	1.14	-0.03	-0.09	1.13	-149.76	-47.75	-224.93
-0.72	-0.09	1.13	0.32	0.04	1.05	-115.43	-47.83	-211.28
-0.70	-0.09	1.14	0.52	0.22	0.85	-52.80	-33.68	-201.51
-0.67	-0.12	1.15	0.52	0.29	0.84	-9.70	-20.56	-198.86
-0.63	0.01	1.15	0.43	0.42	0.81	29.36	-35.21	-192.27
-0.66	0.01	1.15	0.32	0.56	0.75	32.11	-36.07	-183.98
-0.74	0.09	1.11	0.30	0.65	0.74	39.71	-44.01	-169.99
-0.79	0.14	1.06	0.23	0.70	0.73	31.65	-52.33	-166.45
-0.77	0.16	1.05	0.26	0.70	0.72	42.76	-51.86	-161.62
-0.71	0.15	1.07	0.35	0.79	0.69	56.24	-52.69	-159.28
-0.66	0.16	1.06	0.27	0.77	0.67	71.73	-54.53	-162.73
-0.72	0.16	1.03	0.19	0.81	0.66	84.32	-50.09	-167.00
-0.73	0.20	1.02	0.18	0.82	0.66	103.56	-49.46	-161.22
-0.69	0.25	1.02	0.13	0.86	0.68	111.12	-46.55	-164.35
-0.61	0.26	1.01	0.03	0.85	0.70	123.03	-49.55	-154.71
-0.41	0.23	1.00	0.03	0.88	0.72	136.31	-41.99	-135.77
-0.27	0.15	1.06	-0.02	0.88	0.72	135.31	-39.21	-115.68
-0.13	0.02	1.10	-0.07	0.91	0.74	123.73	-35.08	-93.79
0.12	-0.21	1.22	-0.01	0.88	0.75	105.91	-32.97	-68.80
0.32	-0.34	1.28	-0.05	0.75	0.88	35.12	-71.07	-43.12
0.59	-0.35	1.40	0.29	0.72	0.91	-28.27	-124.70	-27.05
-0.88	0.65	1.29	0.23	1.04	0.61	93.83	-41.50	-28.63
-0.90	0.69	1.27	0.23	1.04	0.61	99.56	-37.49	-24.12
-0.95	0.68	1.23	0.18	1.15	0.54	100.85	-29.30	-14.66
-1.08	0.74	1.24	0.13	1.15	0.51	100.18	-26.37	-2.33
-1.24	0.81	1.18	0.14	1.15	0.49	104.05	-26.68	7.98
-1.36	0.93	1.09	0.16	1.22	0.45	90.58	-28.23	10.12
-1.45	0.96	1.03	0.22	1.24	0.42	80.80	-34.75	10.03
-1.66	1.00	0.97	0.27	1.24	0.41	69.62	-35.17	4.07
-1.84	0.99	0.95	0.28	1.25	0.39	65.80	-37.09	-1.19
-1.97	0.99	0.95	0.32	1.26	0.43	67.83	-34.79	-5.44
-2.00	1.02	0.89	0.31	1.20	0.44	61.99	-32.42	-9.95
-2.00	0.96	0.91	0.31	1.24	0.51	42.43	-29.40	-12.60
-2.00	0.91	0.95	0.36	1.18	0.49	41.13	-33.42	-21.72
-1.74	0.80	1.05	0.31	1.11	0.61	25.30	-31.49	-21.84
-1.53	0.71	1.35	0.32	0.94	0.69	41.10	-23.98	-15.34
-0.90	0.50	1.65	0.37	0.78	0.91	47.59	-10.96	-21.29
-0.21	0.35	1.48	0.47	0.66	1.04	69.22	1.70	-13.43
1.29	-0.11	1.94	0.52	0.41	1.23	83.42	-7.66	-0.36
2.00	-0.95	2.00	0.29	0.31	1.12	80.27	-29.96	-7.60
2.00	-0.73	2.00	0.06	0.57	0.91	61.52	-47.01	-12.63
2.00	0.09	2.00	-0.11	0.50	0.89	40.07	-71.10	-12.78
1.87	0.61	2.00	-0.05	0.52	0.82	33.86	-106.42	-16.37
0.77	0.83	2.00	0.12	0.82	0.70	63.42	-100.35	-14.82
