-0.47	-0.46	1.48	0.06	-0.32	1.00	-39.99	4.93	20.84
-0.49	-0.42	1.56	-0.01	-0.44	1.06	-53.28	-12.90	33.30
-0.54	-0.51	1.79	0.03	-0.52	1.07	-38.52	-36.86	34.10
-0.59	-0.63	1.99	0.07	-0.57	0.99	-19.20	-56.06	35.75
-0.63	-0.62	1.99	-0.01	-0.45	0.85	-14.46	-71.85	28.62
-0.62	-0.48	1.83	0.02	-0.14	0.64	-18.55	-77.23	9.93
-0.45	-0.23	1.72	0.14	0.09	0.49	-21.23	-71.36	-20.13
-0.39	-0.12	1.59	0.43	0.47	0.39	10.86	-46.01	-55.18
-0.31	0.20	1.26	0.57	0.68	0.54	65.38	-5.30	-79.47
-0.37	0.74	0.66	0.60	0.66	0.89	113.71	39.28	-84.03
-0.52	0.92	-0.33	0.51	0.56	1.14	177.65	83.15	-87.00
-0.50	0.84	-0.57	0.28	0.51	1.20	175.76	100.91	-79.63
-0.29	0.56	-0.81	-0.10	0.47	1.46	103.75	101.91	-87.75
-0.32	0.20	-0.72	0.09	0.06	1.78	36.26	115.15	-120.60
-0.42	-0.05	-0.59	0.52	-0.53	1.97	-1.75	128.61	-138.80
-0.62	-0.49	-0.24	0.72	-0.72	1.99	6.32	136.01	-156.05
-0.50	-0.86	0.07	0.96	-0.93	2.14	33.31	137.82	-154.44
-0.49	-0.97	0.22	0.96	-1.05	2.31	24.67	128.22	-152.26
-0.46	-1.12	0.44	0.96	-1.12	2.31	9.06	117.62	-152.92
-0.35	-1.22	0.70	0.99	-1.18	2.30	-5.19	102.96	-149.23
-0.24	-1.16	0.79	0.92	-1.15	2.34	-24.99	89.46	-148.20
-0.26	-1.12	0.86	0.93	-1.08	2.48	-31.51	77.70	-139.22
-0.36	-0.97	0.97	0.89	-0.99	2.49	-24.08	62.75	-124.88
-0.55	-0.90	1.05	0.72	-0.87	2.54	-57.98	39.41	-121.30
-0.89	-0.61	1.09	0.72	-0.79	2.55	-73.98	27.56	-109.12
-1.16	-0.47	1.15	0.67	-0.58	2.48	-64.97	36.91	-89.81
-0.88	-0.64	1.54	0.69	-0.05	2.01	-10.84	71.69	-74.12
-0.41	-0.68	1.98	0.54	0.38	1.32	10.41	121.62	-79.59
-0.34	-0.72	1.59	0.49	-0.04	1.54	-41.47	131.11	-76.87
-0.53	-0.79	1.33	0.63	-0.30	1.67	-78.40	123.40	-64.65
-0.77	-0.65	1.55	0.38	-0.03	1.39	-28.76	130.95	-69.97
-0.66	-0.80	1.54	0.11	-0.12	1.29	-38.23	122.57	-57.82
-0.22	0.42	0.52	0.23	0.48	1.00	57.24	49.92	-68.90
-0.19	0.50	0.31	0.25	0.50	1.02	38.58	52.24	-65.21
-0.52	0.33	0.16	0.30	0.44	1.06	38.36	66.96	-73.24
-0.49	0.49	-0.28	0.41	0.29	1.30	44.61	80.54	-73.82
-0.23	0.36	-0.38	0.40	0.14	1.42	66.41	99.76	-66.02
-0.25	0.08	-0.30	0.43	-0.20	1.69	43.76	102.88	-72.85
-0.32	-0.25	0.03	0.61	-0.39	1.72	21.75	93.90	-86.87
-0.43	-0.39	0.23	0.87	-0.52	1.71	31.99	95.05	-98.27
-0.61	-0.49	0.50	1.00	-0.61	1.73	85.27	106.62	-92.39
-0.72	-0.49	0.46	0.89	-0.60	1.85	106.11	123.46	-97.65
-0.79	-0.55	0.40	0.74	-0.67	1.92	102.88	123.69	-105.54
-0.79	-0.64	0.45	0.67	-0.74	1.94	60.45	120.07	-127.22
-0.70	-0.77	0.70	0.83	-0.78	1.99	39.69	121.39	-144.90
-0.54	-0.90	0.83	0.82	-0.82	2.04	34.91	120.58	-154.96
-0.48	-0.96	0.90	1.09	-1.05	2.23	68.35	119.84	-142.76
-0.54	-0.99	1.00	1.02	-1.06	2.38	43.56	103.78	-124.87
-0.52	-0.98	1.06	1.00	-1.07	2.46	6.97	80.97	-122.67
-0.51	-0.93	1.10	0.97	-1.05	2.48	-39.41	58.38	-123.34
-0.58	-0.62	1.01	0.81	-0.88	2.46	-79.29	43.04	-120.00
-0.68	-0.52	0.94	0.88	-0.74	2.34	-50.40	44.98	-93.17
-0.64	-0.46	1.13	0.85	-0.52	2.30	2.46	42.51	-57.23
-0.60	-0.44	1.30	0.77	-0.30	2.23	-0.17	51.54	-50.75
-0.30	-0.55	1.77	0.45	0.21	1.76	-25.65	79.96	-47.19
-0.23	-0.61	2.02	0.51	0.43	1.36	-12.65	106.20	-50.19
-0.19	-0.67	1.72	0.31	0.09	1.41	-19.66	108.71	-31.78
-0.56	-0.86	1.54	0.16	-0.22	1.45	-41.48	99.93	-26.08
-0.67	-0.84	1.65	0.01	-0.14	1.45	-30.66	92.71	-32.47
-0.66	-0.98	1.77	0.02	-0.25	1.43	-48.87	77.67	-29.85
-0.57	-0.92	1.80	0.05	-0.37	1.41	-45.62	47.33	-14.48
-0.44	-0.80	1.84	0.07	-0.49	1.24	-62.31	7.52	2.51
-0.38	-0.60	1.84	0.13	-0.48	1.11	-61.35	-31.23	17.79
-0.43	-0.43	1.78	0.24	-0.36	0.89	-23.09	-49.29	11.56
-0.65	-0.80	0.68	1.11	-0.90	2.13	75.61	100.56	-103.27
-0.65	-0.80	0.68	1.07	-0.83	2.15	72.71	97.33	-105.42
-0.68	-0.93	0.84	1.06	-0.78	2.18	68.96	99.40	-111.02
