0.56	-0.00	1.39	0.16	0.18	0.54	-12.11	-110.34	81.61
0.55	0.03	1.37	0.21	0.21	0.50	-6.20	-103.50	75.42
0.58	0.04	1.33	0.22	0.23	0.40	2.36	-91.17	66.65
0.59	0.03	1.26	0.13	0.27	0.29	5.51	-72.51	57.65
0.56	0.04	1.10	0.09	0.29	0.26	2.69	-51.42	50.45
0.49	0.10	0.99	0.07	0.31	0.21	0.38	-27.82	43.09
0.46	0.15	0.97	0.09	0.34	0.21	-0.98	-5.10	37.49
0.38	0.25	0.91	0.10	0.33	0.22	-4.97	12.24	31.85
0.34	0.36	0.82	0.15	0.34	0.20	-7.66	18.27	25.69
0.36	0.43	0.77	0.18	0.38	0.27	-15.83	33.07	21.81
0.39	0.52	0.72	0.24	0.41	0.36	-20.42	36.37	15.88
0.45	0.61	0.69	0.33	0.39	0.52	-30.47	42.46	16.11
0.48	0.65	0.68	0.43	0.38	0.60	-38.20	48.75	12.27
0.50	0.69	0.70	0.57	0.34	0.71	-39.65	61.26	8.29
0.55	0.71	0.65	0.74	0.28	0.88	-21.32	71.54	2.54
0.56	0.74	0.56	0.76	0.29	0.91	9.01	83.92	-6.80
0.45	0.74	0.39	0.76	0.26	0.93	53.44	96.45	-19.02
0.34	0.63	0.33	0.67	0.22	0.94	93.00	108.89	-26.92
0.25	0.52	0.33	0.59	0.16	0.94	111.39	117.08	-31.82
0.08	0.42	0.37	0.61	0.15	0.91	116.01	123.56	-35.36
0.06	0.27	0.39	0.58	0.13	0.86	106.36	124.28	-39.77
0.07	0.21	0.40	0.57	0.13	0.84	93.44	126.27	-47.01
0.16	0.14	0.34	0.57	0.09	0.91	85.43	130.42	-51.19
0.27	0.07	0.21	0.53	0.10	0.94	68.85	130.89	-52.54
0.11	0.03	0.00	0.59	0.13	1.05	59.64	124.71	-55.95
0.03	0.02	-0.11	0.94	0.16	1.21	104.87	123.51	-66.84
-0.01	-0.18	-0.04	0.87	0.10	1.33	148.49	114.73	-67.72
0.03	-0.37	0.36	0.36	0.16	1.30	101.27	88.36	-54.54
0.53	-0.51	0.81	0.30	0.17	1.22	42.29	63.76	-45.48
1.22	-0.27	1.08	0.42	0.06	1.22	-1.63	40.90	-37.08
1.32	-0.18	1.22	0.56	-0.06	1.43	-28.47	14.67	-30.41
0.91	-0.20	1.15	0.63	-0.11	1.52	-14.21	-6.78	-29.96
0.61	-0.14	1.80	-0.04	0.03	0.90	-49.14	-125.96	107.19
0.58	-0.21	1.77	0.00	0.05	0.82	-48.12	-131.19	112.18
0.56	-0.17	1.58	0.03	0.05	0.67	-53.66	-133.43	119.31
0.57	-0.12	1.38	0.04	0.05	0.61	-62.09	-133.39	125.29
0.56	-0.08	1.33	0.00	0.11	0.47	-71.85	-135.09	125.19
0.61	-0.05	1.26	0.00	0.14	0.38	-72.63	-133.89	120.62
0.56	0.00	1.08	0.04	0.17	0.30	-70.33	-129.76	112.76
0.56	0.06	1.01	0.06	0.19	0.25	-64.71	-118.36	102.68
0.57	0.23	0.88	0.11	0.23	0.16	-55.92	-101.95	86.89
0.57	0.38	0.86	0.16	0.26	0.12	-48.67	-81.35	72.56
0.57	0.42	0.87	0.24	0.30	0.14	-49.93	-62.60	58.01
0.48	0.48	0.90	0.28	0.31	0.15	-51.67	-46.69	43.15
0.42	0.52	0.91	0.40	0.34	0.23	-55.48	-37.85	29.76
0.39	0.55	0.90	0.54	0.38	0.30	-51.64	-32.18	17.73
0.34	0.63	0.86	0.57	0.38	0.21	-35.50	-25.43	8.76
