0.42	-0.93	0.21	0.38	0.34	-0.11	36.67	147.98	-143.63
0.38	-0.87	0.22	0.33	0.27	-0.11	15.65	159.48	-171.38
0.37	-0.81	0.22	0.24	0.13	-0.11	-11.91	168.62	-192.26
0.40	-0.76	0.21	0.21	-0.02	-0.08	-33.80	177.13	-210.48
0.47	-0.78	0.22	0.18	-0.06	-0.06	-66.97	181.39	-224.77
0.36	-0.66	0.24	0.16	-0.24	-0.02	-84.72	180.42	-230.33
0.34	-0.74	0.23	0.21	-0.30	0.17	-84.63	186.14	-239.67
0.39	-0.67	0.23	0.17	-0.42	0.43	-63.88	195.41	-244.69
0.32	-0.71	0.25	0.12	-0.43	0.60	-32.17	200.76	-249.29
0.38	-0.74	0.25	-0.26	-0.58	1.35	-10.13	182.82	-228.71
0.39	-0.82	0.27	-1.00	-0.74	1.80	-48.46	132.26	-165.47
0.38	-0.88	0.30	-1.68	-1.00	2.00	-107.10	83.08	-78.44
0.37	-1.00	0.28	-1.80	-1.10	2.00	-129.69	54.29	-12.96
0.34	-1.28	0.30	-0.93	-1.15	2.00	4.18	50.45	14.24
0.48	-1.52	0.43	-0.68	-0.83	2.00	147.01	38.76	43.44
0.52	-1.51	0.50	-0.88	-0.68	2.00	176.81	-7.29	98.46
0.53	-1.27	0.48	-1.28	-0.42	2.00	120.55	-60.60	154.19
0.45	-1.04	0.34	-0.97	-0.34	2.00	82.92	-98.55	194.17
0.44	-0.99	0.31	-0.54	-0.28	1.80	71.21	-120.54	212.10
0.60	-0.91	0.38	-0.41	-0.23	1.64	74.01	-134.10	217.96
0.75	-0.94	0.50	-0.18	-0.18	1.37	103.84	-138.55	224.72
0.81	-0.91	0.52	-0.25	-0.04	1.06	92.50	-138.64	226.54
0.81	-0.94	0.51	-0.18	0.00	0.74	86.54	-133.98	233.04
0.66	-0.90	0.46	0.02	0.14	0.40	99.78	-126.67	232.62
0.57	-0.92	0.43	0.15	0.26	0.16	87.32	-105.28	215.75
0.48	-0.84	0.47	0.05	0.27	0.02	36.17	-94.61	194.35
0.39	-0.84	0.46	0.25	0.23	-0.08	23.22	-75.90	173.85
0.34	-0.67	0.45	0.25	0.18	-0.16	5.93	-64.38	155.02
0.19	-0.50	0.41	0.30	0.33	-0.23	0.42	-42.32	124.75
0.21	-0.47	0.38	0.36	0.25	-0.32	-4.82	-22.02	90.45
0.27	-0.50	0.34	0.27	0.39	-0.39	-15.81	-3.81	41.80
0.43	-0.45	0.28	0.35	0.37	-0.47	-10.13	20.92	-6.49
0.59	-1.42	0.21	-0.07	-1.38	1.85	26.20	60.78	-243.37
0.55	-1.31	0.20	-0.06	-1.16	1.52	75.11	40.60	-239.66
0.44	-1.16	0.18	-0.12	-1.05	1.35	99.70	20.94	-231.02
0.40	-1.06	0.17	-0.16	-0.86	1.06	120.47	-0.47	-229.50
0.34	-0.92	0.14	-0.34	-0.77	0.89	113.24	-24.96	-219.45
0.24	-0.81	0.14	-0.35	-0.71	0.85	95.06	-45.32	-207.25
0.22	-0.80	0.11	-0.37	-0.68	0.77	81.55	-57.31	-204.23
0.23	-0.69	0.11	-0.29	-0.63	0.71	77.97	-62.36	-202.11
0.27	-0.65	0.08	-0.26	-0.59	0.63	81.48	-64.31	-202.85
0.33	-0.62	0.08	-0.27	-0.60	0.59	77.78	-55.25	-202.30
0.39	-0.66	0.07	-0.34	-0.61	0.62	60.85	-58.75	-205.20
0.46	-0.72	0.04	-0.39	-0.69	0.70	50.80	-55.95	-202.00
0.33	-0.85	0.13	-0.43	-0.74	0.76	47.30	-52.93	-193.58
0.36	-0.84	0.22	-0.43	-0.79	0.77	47.33	-52.81	-183.92
0.58	-1.07	0.24	-0.41	-0.91	0.77	65.96	-51.84	-173.14
0.95	-1.07	0.17	-0.47	-0.93	0.72	55.44	-46.54	-169.47
1.03	-1.15	0.12	-0.39	-0.87	0.69	57.18	-44.32	-161.50
1.04	-1.07	-0.01	-0.24	-0.99	0.67	87.98	-36.01	-151.77
0.90	-1.02	-0.09	-0.25	-1.04	0.61	107.49	-31.00	-148.52
0.80	-1.06	-0.13	-0.18	-1.07	0.59	139.55	-25.32	-140.08
0.84	-1.09	-0.08	-0.22	-1.08	0.58	157.40	-28.24	-136.48
1.19	-1.25	0.07	-0.29	-1.05	0.57	166.40	-32.48	-127.20
1.54	-1.42	0.10	-0.34	-1.02	0.57	162.78	-41.25	-115.62
1.54	-1.58	0.08	-0.43	-1.08	0.56	160.89	-47.27	-105.26
1.52	-1.72	0.03	-0.48	-1.14	0.52	146.59	-59.28	-99.24
1.55	-1.93	0.01	-0.28	-1.24	0.57	169.88	-56.89	-89.00
1.39	-1.70	0.14	-0.20	-1.11	0.95	174.72	-59.88	-96.30
1.47	-1.63	0.16	-0.48	-1.17	0.80	121.47	-97.08	-80.34
1.36	-1.57	0.14	-0.50	-0.71	0.22	113.18	-98.25	-76.21
1.32	-1.57	0.10	-0.56	-0.81	0.27	119.55	-82.16	-93.29
1.09	-1.52	0.15	-0.52	-0.80	0.36	113.89	-70.34	-114.29
0.84	-1.42	0.18	-0.61	-0.88	0.56	114.88	-67.32	-117.88
-0.57	0.34	-0.25	-0.23	-0.65	0.14	142.28	-30.68	-44.02
-0.54	0.38	-0.27	-0.23	-0.62	0.13	143.83	-29.24	-50.16
-0.52	0.36	-0.33	-0.27	-0.63	0.12	143.30	-22.74	-56.42
-0.39	0.28	-0.32	-0.31	-0.60	0.12	126.89	-18.83	-62.67
-0.31	0.20	-0.33	-0.27	-0.54	0.18	118.23	-16.14	-66.80
-0.18	0.00	-0.28	-0.34	-0.58	0.25	93.59	-14.86	-67.76
-0.05	-0.19	-0.16	-0.27	-0.56	0.28	85.24	-11.76	-65.60
0.07	-0.31	-0.12	-0.27	-0.58	0.34	68.96	-10.02	-61.29
0.79	-0.70	0.23	-0.25	-0.62	0.40	64.44	-6.01	-57.53
1.41	-0.93	0.67	-0.30	-0.73	0.46	48.91	-2.88	-58.08
1.72	-1.07	0.65	-0.28	-0.83	0.49	40.14	3.88	-61.43
2.00	-1.92	1.13	-0.26	-1.12	0.54	43.87	11.65	-76.91
2.00	-2.00	2.00	-0.32	-1.49	0.74	46.60	6.94	-94.43
2.00	-1.91	2.00	-0.36	-1.58	0.88	61.16	6.04	-99.62
2.00	-1.12	2.00	-0.33	-1.42	0.98	83.07	1.46	-96.34
2.00	-0.77	1.96	-0.34	-1.17	0.77	99.25	7.49	-82.50
2.00	-0.72	1.83	-0.29	-0.92	0.55	99.81	17.99	-71.89
1.91	-0.60	1.53	-0.29	-0.86	0.50	82.59	28.08	-63.11
1.24	-0.46	1.22	-0.28	-0.79	0.54	70.34	33.51	-60.03
0.82	-0.26	0.89	-0.41	-0.73	0.63	34.97	28.21	-61.20
0.66	-0.16	0.74	-0.52	-0.68	0.73	-5.88	17.98	-55.30
0.36	-0.05	0.47	-0.52	-0.68	0.76	-35.71	9.32	-44.90
0.11	0.06	0.28	-0.46	-0.67	0.74	-61.80	1.34	-41.84
-0.11	0.16	0.15	-0.36	-0.73	0.70	-71.59	-3.92	-37.38
-0.30	0.28	0.00	-0.26	-0.75	0.70	-59.62	-4.16	-30.79
-0.47	0.38	-0.13	-0.25	-0.76	0.72	-46.80	-6.07	-20.12
-0.53	0.49	-0.22	-0.25	-0.73	0.73	-31.74	-7.10	-7.39
-0.59	0.54	-0.27	-0.25	-0.73	0.73	-19.82	-10.78	11.57
-0.62	0.56	-0.24	-0.29	-0.68	0.65	-11.28	-13.44	28.81
-0.68	0.49	-0.24	-0.29	-0.63	0.59	-8.64	-18.98	43.22
-0.75	0.44	-0.23	-0.32	-0.62	0.56	-14.23	-22.79	57.04
